source_id,model,category,token_count,score,output_chars,duration_s
02e63a2f2fc247d0,gpt-oss:latest,Siphon,61720,0.2,3897,3.6621
02fad2c24aa64146,gpt-oss:latest,Siphon,57614,0.0,625,3.705
05e962961e864ff4,gpt-oss:latest,BookSum,2464,0.4,1907,0.775
07096bbe6a1a7e2b,gpt-oss:latest,GovReport,14090,0.2,848,1.1199
08837ee9084057e5,gpt-oss:latest,BookSum,7788,0.0,1336,0.8571
090c12c71a57eea9,gpt-oss:latest,Siphon,896,1.0,2060,0.5619
0a040ce02baea0c0,gpt-oss:latest,Siphon,797,0.8,1296,0.5955
0b6450551fc145bd,gpt-oss:latest,Siphon,57258,0.0,1554,3.8566
0bd12d25e7d6913f,gpt-oss:latest,GovReport,10463,0.2,17006,0.6754
0bd1ae5ac36914da,gpt-oss:latest,Siphon,67454,0.0,5705,2.1016
0fb47e118eaf9c6d,gpt-oss:latest,Siphon,145511,0.0,600,0.4876
109dcc0cca5141f1,gpt-oss:latest,Siphon,37266,0.0,5658,1.6093
128df24fe407b3f6,gpt-oss:latest,Siphon,589,0.8,1732,0.5173
1331bc288059434f,gpt-oss:latest,PubMed,3987,1.0,2330,0.9417
1387e59928e190df,gpt-oss:latest,Siphon,34576,0.0,5633,1.4664
140a70ee3e93ba11,gpt-oss:latest,BookSum,6612,0.2,1843,0.9673
1b30c02dad523501,gpt-oss:latest,Siphon,69552,0.2,2248,2.4803
1bde1d2b9bf55ef6,gpt-oss:latest,BillSum,1582,1.0,2860,0.6963
1be319f52bc7794b,gpt-oss:latest,Siphon,84011,0.2,1702,1.8172
1e549964b0d1ffb3,gpt-oss:latest,Siphon,650,0.8,2067,0.572
1f1a08b291f9ff92,gpt-oss:latest,BookSum,4484,0.4,572,0.8414
20b0bbf1c1e7b842,gpt-oss:latest,BookSum,835,0.4,874,0.7308
224726bec5c26d23,gpt-oss:latest,Siphon,129487,0.2,1016,0.5395
2301c8025d4cfc55,gpt-oss:latest,BookSum,7811,0.2,8403,0.7832
26562bc95f29d0e7,gpt-oss:latest,Siphon,174536,0.2,1199,0.4343
269c15d175b31c53,gpt-oss:latest,ArXiv,6689,0.2,1445,1.0321
29fbe5b2a9cdcbd1,gpt-oss:latest,BookSum,1652,0.4,1935,0.7773
2aed9f5ceb0d4ef5,gpt-oss:latest,Siphon,93927,0.0,102,1.8156
2b7f09404acf6db7,gpt-oss:latest,GovReport,26243,0.2,6544,1.199
2c17d50233c19bfe,gpt-oss:latest,Siphon,49489,0.2,2044,1.7003
2efb01a28bf80931,gpt-oss:latest,BookSum,8482,0.4,798,0.7465
2fdb74a46e6c6164,gpt-oss:latest,Siphon,38983,0.0,1657,1.4274
3052d859aa2275aa,gpt-oss:latest,GovReport,14575,0.0,2779,1.1481
30f2b3fe9afa1dd8,gpt-oss:latest,Siphon,119122,0.0,623,0.315
31c6b3277cd42ea1,gpt-oss:latest,Siphon,789,1.0,1094,0.6588
3345ef955c76a87d,gpt-oss:latest,BookSum,37118,0.0,520,0.8666
348720498ac46980,gpt-oss:latest,Siphon,94646,0.2,6117,1.3622
373a4663b87fc0f2,gpt-oss:latest,ArXiv,14191,0.0,1638,0.9831
37a3042103b40d4d,gpt-oss:latest,Siphon,92058,0.0,3855,4.5507
37ede2181d67b068,gpt-oss:latest,Siphon,748,1.0,1066,0.6173
3cb7d5d442bca0be,gpt-oss:latest,ArXiv,10264,0.4,10953,0.6035
3e7889d6260c53ba,gpt-oss:latest,Siphon,26861,0.0,3066,1.1048
3f9f00be54ca44ff,gpt-oss:latest,Siphon,1539,1.0,2117,0.6901
3fee926e3411eb82,gpt-oss:latest,BookSum,5463,0.0,112,1.1383
4140c397caa5bb5c,gpt-oss:latest,Siphon,1094,0.8,1174,0.9555
414c6467b7793a14,gpt-oss:latest,BookSum,3062,0.4,1857,0.8774
423c4ea171279761,gpt-oss:latest,GovReport,10255,0.2,11221,0.8829
445be14601e8bbb4,gpt-oss:latest,GovReport,16710,0.0,17020,0.7364
45e0a7c13fe243ac,gpt-oss:latest,Siphon,167743,0.0,1008,0.352
46717a20176e4cbf,gpt-oss:latest,BillSum,1763,0.8,1655,0.8285
467a66e3a5d1e345,gpt-oss:latest,BookSum,3781,0.2,1802,0.7717
476cb804440b06c2,gpt-oss:latest,Siphon,44972,0.2,1074,0.8806
49347fa7f3dd4982,gpt-oss:latest,PubMed,16726,0.0,2933,0.9555
49c4153a2663c281,gpt-oss:latest,Siphon,181458,0.0,270,0.5246
4c6632acb49850d6,gpt-oss:latest,GovReport,20455,0.0,656,1.1174
4c8e024fce3fc5d9,gpt-oss:latest,WikiHow,678,0.8,1511,0.5184
4d0a20e2088f2902,gpt-oss:latest,BookSum,5517,0.0,116,1.0506
4eb2e0c8ddd332bf,gpt-oss:latest,GovReport,19830,0.2,2270,1.0719
4f982dfe7069d046,gpt-oss:latest,BookSum,2659,0.2,1386,0.8362
500c8c0456b3da81,gpt-oss:latest,BookSum,2233,0.4,1114,0.6682
502437db373383b9,gpt-oss:latest,Siphon,87610,0.2,1800,2.1326
53e1febec460a636,gpt-oss:latest,BillSum,1762,1.0,2760,0.7918
