source_id,oneshot_model,map_model,category,token_count,score,output_chars,duration_s
f85c663e53990930,gemma4:latest,gpt-oss:latest,Siphon,57521,0.0,2188,2.1854
476cb804440b06c2,gemma4:latest,gpt-oss:latest,Siphon,44972,0.0,878,1.1543
0b6450551fc145bd,gemma4:latest,gpt-oss:latest,Siphon,57258,0.0,2027,1.7397
02fad2c24aa64146,gemma4:latest,gpt-oss:latest,Siphon,57614,0.0,3598,2.0007
02e63a2f2fc247d0,gemma4:latest,gpt-oss:latest,Siphon,61720,0.2,3338,1.5947
6ad3dd0c3f431874,gemma4:latest,gpt-oss:latest,Siphon,62888,0.2,3209,1.8386
edfbc4f45d53acc0,gemma4:latest,gpt-oss:latest,Siphon,69035,0.0,2481,1.5475
6f6cc4585849811f,gemma4:latest,gpt-oss:latest,Siphon,73505,0.0,1053,1.3369
7baed1f1f71e323a,gemma4:latest,gpt-oss:latest,Siphon,70057,0.0,1966,1.6411
ba0d577246b2d4e1,gemma4:latest,gpt-oss:latest,Siphon,65365,0.0,3305,1.9334
816693302331e005,gemma4:latest,gpt-oss:latest,BookSum,60629,0.0,3120,1.7326
0bd1ae5ac36914da,gemma4:latest,gpt-oss:latest,Siphon,67454,0.2,3544,3.1746
1b30c02dad523501,gemma4:latest,gpt-oss:latest,Siphon,69552,0.0,811,2.2378
6530c89657cfb4df,gemma4:latest,gpt-oss:latest,Siphon,76775,0.0,2831,2.3144
502437db373383b9,gemma4:latest,gpt-oss:latest,Siphon,87610,0.0,2572,2.1135
5dafb48fe93f0a2e,gemma4:latest,gpt-oss:latest,Siphon,103375,0.2,1478,0.254
1be319f52bc7794b,gemma4:latest,gpt-oss:latest,Siphon,84011,0.0,1918,1.6877
b8cc52d287397cd3,gemma4:latest,gpt-oss:latest,Siphon,106318,0.2,3772,0.2682
348720498ac46980,gemma4:latest,gpt-oss:latest,Siphon,94646,0.2,2049,2.675
2aed9f5ceb0d4ef5,gemma4:latest,gpt-oss:latest,Siphon,93927,0.0,2146,2.3802
