model,host_alias,source_id,token_count,score,output_chars,duration_s,use_cache
gemma4:latest,deepwater,d4bf61f86b7f43f9,1126,1.0,1990,0.1447,True
qwen3.6:latest,deepwater,77e0b26d6be488ca,24443,0.9,4120,0.1375,True
qwen3.6:latest,deepwater,a7550552c0395edf,25372,0.8,3596,0.1035,True
qwen3.6:latest,deepwater,ad1d0c2c3f760339,26010,0.6,2159,0.0927,True
qwen3.6:latest,deepwater,e80f301231c03eb5,30263,0.4,4068,0.1139,True
qwen3.6:latest,deepwater,2aed9f5ceb0d4ef5,93927,0.2,2918,0.1426,True
qwen3.6:latest,deepwater,2fdb74a46e6c6164,38983,0.4,2979,0.13,True
qwen3.6:latest,deepwater,3345ef955c76a87d,37118,0.2,4011,0.1145,True
qwen3.6:latest,deepwater,37a3042103b40d4d,92058,0.2,4156,0.1155,True
qwen3.6:latest,deepwater,6f49de98e931e84b,59724,0.0,825,0.1903,True
qwen3.6:latest,deepwater,6ad3dd0c3f431874,62888,0.4,3077,0.1682,True
qwen3.6:latest,deepwater,903381274ce57bd1,29985,0.8,2943,0.1275,True
qwen3.6:latest,deepwater,e40961f17f905e12,52267,0.2,3502,0.2055,True
qwen3.6:latest,deepwater,f17331f2a61055fb,11679,0.4,3105,0.1511,True
qwen3.6:latest,deepwater,f85c663e53990930,57521,0.2,2025,0.1701,True
gpt-oss:latest,deepwater,269c15d175b31c53,6689,1.0,2234,11.8958,False
gpt-oss:latest,bywater,8f8766c2304b7f80,698,1.0,1930,15.0478,False
gpt-oss:latest,deepwater,46717a20176e4cbf,1763,1.0,2287,8.4777,False
qwen3.6:latest,deepwater,49347fa7f3dd4982,16726,0.8,2124,0.0747,True
qwen3.6:latest,deepwater,b466b772db978b61,18747,0.8,2538,0.079,True
qwen3.6:latest,deepwater,f6af448f2b101fbd,58992,0.4,4055,0.1079,True
qwen3.6:latest,deepwater,575c269c2a40911e,90836,0.2,4865,0.1711,True
qwen3.6:latest,deepwater,5849457e28d2dd47,84166,0.2,5477,0.1617,True
qwen3.6:latest,deepwater,8477a4927f2e98ba,6438,0.9,2420,0.107,True
qwen3.6:latest,deepwater,a3d9bc4c3eeee68c,14996,1.0,3439,0.095,True
qwen3.6:latest,deepwater,b30452d4d37551ea,12597,0.8,3580,0.0745,True
qwen3.6:latest,deepwater,adeafd1c9f56022c,12955,0.6,2158,0.0809,True
qwen3.6:latest,deepwater,658b4bf748124550,12846,0.8,2572,0.1043,True
qwen3.6:latest,deepwater,f4561f0f5f4d07aa,13581,0.8,3606,0.0859,True
qwen3.6:latest,deepwater,e7744ce952e46afc,5719,0.6,1410,0.0881,True
qwen3.6:latest,deepwater,02e63a2f2fc247d0,61720,0.4,3876,0.1382,True
qwen3.6:latest,deepwater,07096bbe6a1a7e2b,14090,0.8,3260,0.1567,True
qwen3.6:latest,deepwater,2c17d50233c19bfe,49489,0.4,4498,0.1171,True
qwen3.6:latest,deepwater,3e7889d6260c53ba,26861,0.8,3054,0.105,True
qwen3.6:latest,deepwater,423c4ea171279761,10255,1.0,3048,0.1046,True
qwen3.6:latest,deepwater,58f88770f6aded5c,12078,0.8,3173,0.099,True
qwen3.6:latest,deepwater,986285ce2700d8a6,17503,0.6,4621,0.1009,True
qwen3.6:latest,deepwater,cfa11d9c3a649e71,14582,0.8,3789,0.1535,True
qwen3.6:latest,deepwater,d8f52fc0bab5592e,49184,0.2,2900,0.1269,True
qwen3.6:latest,deepwater,fd864b64a6209418,19339,0.6,3920,0.1375,True
qwen3.6:latest,deepwater,8ebc4c9e210a22f8,7576,0.8,3142,0.1055,True
qwen3.6:latest,deepwater,4c6632acb49850d6,20455,0.8,3910,0.0987,True
qwen3.6:latest,deepwater,7baed1f1f71e323a,70057,0.2,3105,0.1466,True
qwen3.6:latest,deepwater,e930ca525bacc27f,6902,0.6,1475,0.0992,True
qwen3.6:latest,deepwater,0bd12d25e7d6913f,10463,1.0,3266,0.0897,True
qwen3.6:latest,deepwater,502437db373383b9,87610,0.2,2576,0.1334,True
qwen3.6:latest,deepwater,6530c89657cfb4df,76775,0.2,3664,0.1364,True
qwen3.6:latest,deepwater,b8b9dbaa58b0b2a2,4534,0.8,889,0.1019,True
qwen3.6:latest,deepwater,1be319f52bc7794b,84011,0.2,1651,0.166,True
qwen3.6:latest,deepwater,7888c4134cc98bc6,39089,0.4,9350,0.1334,True
qwen3.6:latest,deepwater,7ca2a2ba98e8ba8b,2495,0.8,1682,0.0973,True
qwen3.6:latest,deepwater,445be14601e8bbb4,16710,0.6,3725,0.1058,True
qwen3.6:latest,deepwater,b2393b52ce6c4f8c,1088,0.6,1133,0.0759,True
qwen3.6:latest,deepwater,0b6450551fc145bd,57258,0.4,4890,0.1037,True
qwen3.6:latest,deepwater,fb5832b1c605abbe,1265,0.8,1463,0.0858,True
qwen3.6:latest,deepwater,9d01de1c463b0fbb,2132,0.8,1999,0.0702,True
qwen3.6:latest,deepwater,f83d5bff2570c20c,1205,0.8,988,0.0709,True
qwen3.6:latest,deepwater,29fbe5b2a9cdcbd1,1652,0.6,799,0.0779,True
qwen3.6:latest,deepwater,d4bf61f86b7f43f9,1126,1.0,674,0.076,True
qwen3.6:latest,deepwater,82eae29747e859c5,3448,0.8,1973,0.0705,True
qwen3.6:latest,deepwater,c708a2c263b5ce96,1559,0.6,802,0.06,True
qwen3.6:latest,deepwater,61740f98a6d09f53,2472,0.8,729,0.0615,True
qwen3.6:latest,deepwater,467a66e3a5d1e345,3781,0.8,1105,0.0733,True
