strategy,model,config_id,source_id,category,token_count,score,output_chars,duration_s
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,500c8c0456b3da81,BookSum,2233,0.6,2163,0.1011
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,575c269c2a40911e,Siphon,90836,0.0,3212,25.7587
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,53e1febec460a636,BillSum,1762,0.8,2605,0.1334
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,57f538fc8d639dba,BillSum,3292,0.6,2783,0.0875
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,60740bd3b82c478e,Siphon,115562,0.2,3551,34.4159
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,61740f98a6d09f53,BookSum,2472,0.6,1796,0.1638
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,5dafb48fe93f0a2e,Siphon,103375,0.2,3895,38.6117
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,6530c89657cfb4df,Siphon,76775,0.2,4256,37.1632
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,658b4bf748124550,GovReport,12846,0.6,3477,6.5458
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,6f6cc4585849811f,Siphon,73505,0.0,189,8.6528
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,6e9d503c40339dfd,BillSum,1129,0.8,1786,0.0991
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,6ad3dd0c3f431874,Siphon,62888,0.2,3519,33.7404
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,6e7bce3c71a5a346,ArXiv,24226,0.6,4995,13.1856
OneShotSummarizer,gpt-oss:latest,219684bc,adeafd1c9f56022c,BookSum,12955,0.0,646,0.6865
OneShotSummarizer,gpt-oss:latest,219684bc,947e4610d64a8916,PubMed,1194,0.8,1206,0.4114
OneShotSummarizer,gpt-oss:latest,219684bc,a91421549f5624aa,BillSum,1877,1.0,2781,0.305
OneShotSummarizer,gpt-oss:latest,219684bc,aebfaeb53a59f2d0,BookSum,15063,0.0,657,0.6666
OneShotSummarizer,gpt-oss:latest,219684bc,a77d7de7a45d464b,PubMed,5323,0.6,2733,0.5706
OneShotSummarizer,gpt-oss:latest,219684bc,ad9e46ff443202ed,Siphon,39521,0.2,4067,0.7779
OneShotSummarizer,gpt-oss:latest,219684bc,aa56b83051de4c93,Siphon,739,1.0,932,0.382
OneShotSummarizer,gpt-oss:latest,219684bc,a5bea2c6a345eb2b,BookSum,2021,0.6,846,0.3721
OneShotSummarizer,gpt-oss:latest,219684bc,b48156ea8c0a4912,BookSum,8825,0.0,837,0.6266
OneShotSummarizer,gpt-oss:latest,219684bc,b30452d4d37551ea,GovReport,12597,0.2,5640,0.4959
OneShotSummarizer,gpt-oss:latest,219684bc,b05bd40ee63cec42,PubMed,4371,0.6,6361,0.3747
OneShotSummarizer,gpt-oss:latest,219684bc,bb615c74b0b0f8ea,ArXiv,5254,0.2,23365,0.3076
OneShotSummarizer,gpt-oss:latest,219684bc,cb13abc0e602e1d3,GovReport,21072,0.0,4226,0.7378
OneShotSummarizer,gpt-oss:latest,219684bc,cfa11d9c3a649e71,GovReport,14582,0.0,1062,0.7792
OneShotSummarizer,gpt-oss:latest,219684bc,d3a6d35adba1a4f7,PubMed,6032,0.2,86,0.4016
OneShotSummarizer,gpt-oss:latest,219684bc,c708a2c263b5ce96,BookSum,1559,0.6,1098,0.411
OneShotSummarizer,gpt-oss:latest,219684bc,d23c2d186a448d72,Siphon,670,0.8,1678,0.4949
OneShotSummarizer,gpt-oss:latest,219684bc,d30a50ac7d29dab1,PubMed,2929,1.0,3408,0.5716
OneShotSummarizer,gpt-oss:latest,219684bc,cd376d7b05c16119,Siphon,581,1.0,1181,0.361
OneShotSummarizer,gpt-oss:latest,219684bc,d4bf61f86b7f43f9,Siphon,1126,1.0,1277,0.5545
OneShotSummarizer,gpt-oss:latest,219684bc,d8d4ee7faa03eca8,BookSum,10040,0.0,2830,0.5881
OneShotSummarizer,gpt-oss:latest,219684bc,e7744ce952e46afc,BookSum,5719,0.0,52,0.4489
OneShotSummarizer,gpt-oss:latest,219684bc,d6cb3396f5d47c1a,Siphon,1547,1.0,2431,0.5343
OneShotSummarizer,gpt-oss:latest,219684bc,e40961f17f905e12,Siphon,52267,0.0,2867,1.326
OneShotSummarizer,gpt-oss:latest,219684bc,e930ca525bacc27f,BookSum,6902,0.0,6786,0.4701
OneShotSummarizer,gpt-oss:latest,219684bc,d8dc63cb1255ae10,BookSum,32533,0.0,6736,0.7535
OneShotSummarizer,gpt-oss:latest,219684bc,d8f52fc0bab5592e,Siphon,49184,0.0,2223,1.1184
OneShotSummarizer,gpt-oss:latest,219684bc,e6229fb9d86212a3,BillSum,1114,1.0,2203,0.4524
OneShotSummarizer,gpt-oss:latest,219684bc,edfbc4f45d53acc0,Siphon,69035,0.2,985,1.2
OneShotSummarizer,gpt-oss:latest,219684bc,ed08ed79e283306c,PubMed,3115,1.0,2000,0.4344
OneShotSummarizer,gpt-oss:latest,219684bc,d87419496c631609,PubMed,8507,0.4,6165,0.6361
OneShotSummarizer,gpt-oss:latest,219684bc,f692fb9c8035587d,BookSum,11752,0.0,234,0.6444
OneShotSummarizer,gpt-oss:latest,219684bc,e80f301231c03eb5,Siphon,30263,0.2,5552,0.7601
OneShotSummarizer,gpt-oss:latest,219684bc,f01bd980db82a7ea,BillSum,1233,0.8,1450,0.3644
OneShotSummarizer,gpt-oss:latest,219684bc,f6af448f2b101fbd,Siphon,58992,0.2,479,1.814
OneShotSummarizer,gpt-oss:latest,219684bc,f29cfabfdec0ce2e,Siphon,667,0.8,1789,0.3738
OneShotSummarizer,gpt-oss:latest,219684bc,fbd31af291bee2c4,Siphon,27652,0.0,575,0.5533
OneShotSummarizer,gpt-oss:latest,219684bc,f4561f0f5f4d07aa,GovReport,13581,0.2,5799,0.6277
OneShotSummarizer,gpt-oss:latest,219684bc,f620043b541185e7,Siphon,503,1.0,1662,0.4116
MapDedupeReduceSummarizer,qwen3.6:latest,08da6118,f73caa8624fffbaf,Siphon,179632,0.2,2604,1289.1672
MapDedupeReduceSummarizer,qwen3.6:latest,08da6118,37a3042103b40d4d,Siphon,92058,0.8,3878,0.679
MapDedupeReduceSummarizer,qwen3.6:latest,08da6118,1387e59928e190df,Siphon,34576,0.6,1763,507.9391
MapDedupeReduceSummarizer,qwen3.6:latest,08da6118,711ab192b0e0ad38,Siphon,177092,0.6,1313,688.7233
MapDedupeReduceSummarizer,qwen3.6:latest,08da6118,45e0a7c13fe243ac,Siphon,167743,0.4,2242,1795.4236
MapDedupeReduceSummarizer,qwen3.6:latest,08da6118,02a36eeaf4de3fed,BookSum,41697,0.4,1681,1246.6674
MapDedupeReduceSummarizer,qwen3.6:latest,08da6118,2b7f09404acf6db7,GovReport,26243,0.8,2526,103.4982
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,109dcc0cca5141f1,Siphon,37266,0.2,3076,8.1847
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,05e962961e864ff4,BookSum,2464,0.6,1795,0.1205
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,0bd1ae5ac36914da,Siphon,67454,0.4,2901,25.678
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,1387e59928e190df,Siphon,34576,0.2,4908,11.3948
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,128df24fe407b3f6,Siphon,589,1.0,1791,0.0681
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,1331bc288059434f,PubMed,3987,0.8,2817,0.1698
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,1be319f52bc7794b,Siphon,84011,0.2,4252,65.032
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,140a70ee3e93ba11,BookSum,6612,0.2,2715,0.086
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,1bde1d2b9bf55ef6,BillSum,1582,0.8,2443,0.0972
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,1b30c02dad523501,Siphon,69552,0.2,2269,23.0541
